locus	logFC	logCPM	LR	PValue	FDR	beta_DG	beta_NG	delta_beta	gene
1:100352304	0.346668762402764	6.52975129962603	2.01231682267529	0.156026887321773	0.787295090857931	0.164774979618706	0.141378157490843	0.0233968221278633	CDC14A
1:101236667	-0.0220897017329912	6.36399488060072	0.00828726930933499	0.927465225309706	0.995113103430104	0.148636560604123	0.128590266524175	0.0200462940799472	S1PR1
1:10474665	-0.090102711908718	8.58417582181672	0.531371985887233	0.466030618650606	0.903723669810688	0.785077337238439	0.751392099838644	0.0336852373997945	PEX14
1:107139882	0.172916170690035	6.68223411347577	0.478548601838455	0.489080476866007	0.912629849194362	0.210739635716269	0.148027765681366	0.0627118700349025	NTNG1
1:107140728	-0.189964161597152	8.00566534909975	0.900807837013261	0.342565192693084	0.872444778514142	0.173047977916019	0.193688025274637	-0.0206400473586187	NTNG1
1:107141734	-0.200885069397089	5.96683865684936	0.677636753173701	0.410401689351022	0.89753577909358	0.134153294271188	0.131455945123381	0.00269734914780684	NTNG1
1:109091200	0.113175531677723	7.05896575232127	0.353893038894483	0.551917605132064	0.929170026841881	0.165347475607444	0.146495872722437	0.018851602885007	TMEM167B
1:109494358	0.238954425198774	6.78297889208269	1.14902362799089	0.283753631753116	0.849821328246077	0.194514159364938	0.154545935310391	0.0399682240545472	CYB561D1
1:110873263	-0.293185527490849	7.47824379219278	1.4585310241074	0.227163994851754	0.833298167658024	0.344718528403676	0.381661459136451	-0.0369429307327753	CD53
1:110873300	-0.328796312178367	7.82517730210326	2.75475387730793	0.0969657374433971	0.741293424938364	0.444307847063769	0.496015989488503	-0.0517081424247337	CD53
1:11262545	0.0303627168850871	6.16707948437774	0.0227053207827197	0.880225903781644	0.993710971887399	0.168270011070014	0.143450309367209	0.0248197017028054	MTOR
1:1165674	-0.0998431338244623	8.05537202716636	0.923468483929902	0.336565906697796	0.868359630128401	0.67494639806428	0.63996928381168	0.0349771142525992	MIR200B
1:1165696	-0.150939660127386	7.84793591350189	1.48361205015381	0.223210237584208	0.831214122948668	0.582224739313307	0.569063010225868	0.0131617290874388	MIR200B
1:11736317	-0.308238477726132	5.91533983632664	1.40864464008482	0.235281521034101	0.840176234940576	0.107530522878612	0.117176286689021	-0.00964576381040887	AGTRAP
1:12617387	0.275661936921226	6.3872575902515	1.49933860317344	0.220773156669339	0.831214122948668	0.179098780829395	0.126944629512486	0.0521541513169082	DHRS3
1:12617507	0.0410566378013909	6.54027234667871	0.0332541509448987	0.855302406529193	0.993710971887399	0.170596417443983	0.155709900858881	0.0148865165851025	DHRS3
1:12618188	0.308308584261071	6.8389527371794	2.45210103130917	0.117367677106939	0.742972962049685	0.214830781491158	0.155256977343497	0.0595738041476613	DHRS3
1:143904504	0.368467488249271	7.02149664839534	1.53601286650151	0.215212259045669	0.831214122948668	0.320917671196421	0.210088238845548	0.110829432350873	H2BP2
1:143904510	0.321696024419788	7.05018847858902	1.64137495332243	0.200136923417924	0.822493386973791	0.326289554611254	0.220441081978321	0.105848472632933	H2BP2
1:143904516	0.382365895007292	7.16800332708919	2.35980144477945	0.124498034408354	0.757214704224683	0.361623989090121	0.237822001732583	0.123801987357539	H2BP2
